True Id;Source;Site name;Address;Zip;Phone;Fax;Program Name;Length of Day;IDHS Provider ID;Agency;Neighborhood;Funded Enrollment;Program Option;Number per Site EHS;Number per Site HS;Director;Head Start Fund;Eearly Head Start Fund;CC fund;Progmod;Website;Executive Director;Center Director;ECE Available Programs;NAEYC Valid Until;NAEYC Program Id;Email Address;Ounce of Prevention Description;Purple binder service type;Column;Column2
512060640;ECE Chicago Find a School scrape.csv; South East Asia Com Broadway;5120 N. Broadway ;60640;9890960;;;;;;Uptown;;;;;;;;;;;;;CP;;;;;;;
512060640;purple_binder_early_childhood.csv; South-East Asia Center;5120 N Broadway Avenue ;60640;9896927;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
512160625;ECE Chicago Find a School scrape.csv; Albany Park Comm Ctr. East;5101 N. Kimball ;60625;5835111;;;;;;North Park;;;;;;;;;;;;;CP;;;;;;;
512160625;NAEYC_accreditation.csv; Albany Park Head Start;5101 N. Kimball  ;60625;5095657;;;;;;;;;;;;;;;;;;http://www.apcc-chgo.org;;;;12/31/12;486881;;;
512160625;CPS_Early_Childhood_Portal_scrape.csv; Albany Park Community Center - Albany Park Head Start Center-Kimball;5121 N Kimball Ave ;;5095657;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;
512160625;CPS_Early_Childhood_Portal_scrape.csv; Albany Park Community Center - Albany Park Head Start Center-Kimball;5121 N Kimball Ave ;;5095657;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;
512160625;chapin_dfss_providers_2011_070212.csv;ALBANY PARK COMMUNITY CENTER KIMBALL;5121 N KIMBALL ;60625;5095657;;;;;;;ALBANY PARK COMMUNITY CENTER;NORTH PARK;;;;;Amy Labb;Yes;No;No;3006HD(HS AM), 3007HD(HS PM), 6001IT(EHS), 2498PS(Child Care;;;;;;;;;
512160625;DFSS_AgencySiteLies_2012.csv;Albany Park Community Center Kimball;5121 N. Kimball ;60625;5095657;;;;;;;Albany Park Community Center;;;;;;;;;;;www.apcc-chgo.org;Harold Rice;Eve Volin;;;;;;
512160625;purple_binder_early_childhood.csv; Albany Park Community Center - Kimball;5121 N Kimball Avenue ;60625;5095650;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
513460638;ECE Chicago Find a School scrape.csv; Twain;5134 S. Lotus Ave ;60638;5352290;;;;;;Garfield Ridge;;;;;;;;;;;;;PFA-REG;;;;;;;
514060609;ECE Chicago Find a School scrape.csv; Centers For New Horizons Robert Taylor;5140 S. Federal  ;60609;5360510;;;;;;Washington Park;;;;;;;;;;;;;CP;;;;;;;
514060609;purple_binder_early_childhood.csv; Centers For New Horizons Robert Taylor School;5140 S Federal Street ;60609;5360510;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
514060625;purple_binder_early_childhood.csv; Swedish Covenant Hospital Child Care;5140 N California Avenue ;60625;9071008;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
516060632;CPS_Early_Childhood_Portal_scrape.csv; El Valor - Teddy Bear 5 Pulaski;5160 S Pulaski RD ;;;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;
516060632;CPS_Early_Childhood_Portal_scrape.csv; Teddy Bear Nursery School, Inc. V;5160 S. Pulaski ;;2847030;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;
516060632;CPS_Early_Childhood_Portal_scrape.csv; El Valor - Teddy Bear 5 Pulaski;5160 S Pulaski RD ;;;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;
516060632;chapin_dfss_providers_2011_070212.csv;EL VALOR TEDDY BEAR 5 (5160 S PULASKI);5160 S PULASKI RD ;60632;2847030;;;;;;;EL VALOR;WEST ELSDON;;;;;Mary Zirngibl;Yes;No;No;;;;;;;;;;
516060632;DFSS_AgencySiteLies_2012.csv;El Valor Teddy Bear 5;5160 S Pulaski Rd. ;60632;2847030;;;;;;;El Valor;;;;;;;;;;;www.elvalor.org;Vincent Allocco;Mary Zirngibl;;;;;;
516060632;ECE Chicago Find a School scrape.csv; Teddy Bear 5;5160 S. Pulaski ;60632;2847030;;;;;;West Elsdon;;;;;;;;;;;;;CP;;;;;;;
520060615;purple_binder_early_childhood.csv; Jewish Community Centers of Chicago - Hyde Park;5200 S Hyde Park Boulevard ;60615;7533080;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care
520060640;CPS_Early_Childhood_Portal_scrape.csv; Trumbull;5200 N. Ashland ;;5342430;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;
520060640;ECE Chicago Find a School scrape.csv; Trumbull;5200 N. Ashland ;60640;5342430;;;;;;Edgewater;;;;;;;;;;;;;PFA-REG;;;;;;;
522160644;CPS_Early_Childhood_Portal_scrape.csv; Leland;5221 W. Congress ;;5346340;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;
522160644;ECE Chicago Find a School scrape.csv; Leland;5221 W. Congress ;60644;5346340;;;;;;Austin;;;;;;;;;;;;;PFA-REG;;;;;;;
524260639;CPS_Early_Childhood_Portal_scrape.csv; Rachel's Learning Center - Austin;5242 W. North Ave. ;;2371444;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;
524260639;chapin_dfss_providers_2011_070212.csv;CHICAGO YOUTH CENTERS RACHEL'S 2;5242 W NORTH AVE ;60639;2371444;;;;;;;CHICAGO YOUTH CENTERS;AUSTIN;;;;;Carol Quinn;Yes;No;No;;;;;;;;;;
524260639;chapin_dfss_providers_2011_070212.csv;EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO RACHEL'S LEARNING CENTER #2;5242 W NORTH AVE ;60639;2371444;;;;;;;EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO;AUSTIN;;;;;Rochelle Ray;No;Yes;No;;;;;;;;;;
524260639;DFSS_AgencySiteLies_2012.csv;Chicago Youth Centers Rachel's 2;5242 W. North Ave ;60639;2371444;;;;;;;Chicago Youth Centers;;;;;;;;;;;www.chicagoyouthcenters.org;Harry Wells;Carol Quinn ;;;;;;
