Id;Source;Site_name;Address;Zip;Phone;Fax;Program_Name;Length_of_Day;IDHS_Provider_ID;Agency;Neighborhood;Funded_Enrollment;Program_Option;Number_per_Site_EHS;Number_per_Site_HS;Director;Head_Start_Fund;Eearly_Head_Start_Fund;CC_fund;Progmod;Website;Executive_Director;Center_Director;ECE_Available_Programs;NAEYC_Valid_Until;NAEYC_Program_Id;Email_Address;Ounce_of_Prevention_Description;Purple_binder_service_type;Column;Column2;PAIR_ID;SCORE;LABEL
420860612;purple_binder_early_childhood.csv;A Step Ahead Day Care Center;4208 N Broadway Street 10;60612;4048664;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care;d day care center_11;;
85760653;CPS_Early_Childhood_Portal_scrape.csv;Henry Booth House - North Kenwood Day Care Center;857 E Pershing Rd;;2682223;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;d day care center_11;0.6031238238614979;no
270060608;chapin_dfss_providers_2011_070212.csv;YMCA OF METROPOLITAN CHICAGO RAUNER;2700 S WESTERN AVE;60608;8473115;;;;;;;YMCA OF METROPOLITAN CHICAGO;LOWER WEST SIDE;;;;;Sonya Sifuentes;Yes;Yes;Yes;4167IT(Child Care IT Center), 4170PS(HS Collaboration with C;;;;;;;;;;ymca of metropolitan chicago rauner_0;;
270060608;DFSS_AgencySiteLies_2012.csv;YMCA of Metropolitan Chicago Rauner;2700 S. Western Ave.;60608;8473115;;;;;;;YMCA of Metropolitan Chicago;;;;;;;;;;;www.ymcachicago.org;Dorothy Cole-Gary;Sonya Sifuentes ;;;;;;;ymca of metropolitan chicago rauner_0;1.0;yes
760624;CPS_Early_Childhood_Portal_scrape.csv;YMCA Garfield;7 N. Homan Avenue;;2653900;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;;ymca garfield_0;;
760624;ECE Chicago Find a School scrape.csv;YMCA Garfield;7 N. Homan Av.;60624;2653900;;;;;;East Garfield Park;;;;;;;;;;;;;CP;;;;;;;;ymca garfield_0;1.0;yes
170560617;DFSS_AgencySiteLies_2012.csv;Chicago Commons Association Tots Express Learning Center;1705 E 87th St;60617;7218687;;;;;;;Chicago Commons Association;;;;;;;;;;;www.chicagocommons.org;Dan Valliere;Clara Cureton;;;;;;;s learning center_9;;
364160653;CPS_Early_Childhood_Portal_scrape.csv;Centers For New Horizons - Ida B. Wells Learning Center;3601 S Rhodes St;;3733640;;State Pre-Kindergarten;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;s learning center_9;0.5982310876928867;no
84460608;CPS_Early_Childhood_Portal_scrape.csv;Chicago Youth Centers - Fellowship House / CYC;844 W 32nd St;;3262282;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;; cyc- cycle_2;;
341560623;CPS_Early_Childhood_Portal_scrape.csv;Edgewater Community Council - A B C Center / CYC;3415 W 13th Pl;;7625655;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;; cyc- cycle_2;0.5773428678961234;no
111960610;ECE Chicago Find a School scrape.csv;Jenner;1119 N. Cleveland;60610;5348440;;;;;;Near North Side;;;;;;;;;;;;;HS-HD;;;;;;;;nner_5;;
11160607;CPS_Early_Childhood_Portal_scrape.csv;Skinner;111 S. Throop;;5347790;;Tuition Based Preschool;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;;nner_5;0.6815957847196086;no
51460619;CPS_Early_Childhood_Portal_scrape.csv;Henry Booth House - All About Kids Learning Academy;514 E 75th St;;8922800;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;; learning academy_6;;
313760629;DFSS_AgencySiteLies_2012.csv;Gads Hill Center Kove Learning Academy;3137 W 71st St.;60629;4763083;;;;;;;Gads Hill Center;;;;;;;;;;;www.gadshillcenter.org;Barbara Castellan;Olivia Hargon ;;;;;;; learning academy_6;0.6083929243507715;no
3613;CPS_Early_Childhood_Portal_scrape.csv;Lava Inc. - Chatterbox Preschool;3613 West Devon;;4782434;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;; preschool_29;;
183460647;CPS_Early_Childhood_Portal_scrape.csv;YMCA McCormick Tribune Preschool;1834 N. Lawndale;;2352525;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;; preschool_29;0.5532555513737297;no
475460625;purple_binder_early_childhood.csv;Hull House Association - Lincoln Square;4754 N Leavitt Street;60625;8788651;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care; lincoln square_5;;
475460625;chapin_dfss_providers_2011_070212.csv;HULL HOUSE ASSOCIATION LINCOLN SQUARE;4754 N LEAVITT;60625;8789651;;;;;;;HULL HOUSE ASSOCIATION;LINCOLN SQUARE;;;;;Raina  Sajous;Yes;No;No;7129PS(HS Collaboration with Childcare & PreK), 2709SA(Schoo;;;;;;;;;; lincoln square_5;0.36206247647722994;yes
165360609;purple_binder_early_childhood.csv;Chicago Commons Association Paulo Freire;1633 W 43rd Street;60609;8262669;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care; paulo freire_26;;
165360609;CPS_Early_Childhood_Portal_scrape.csv;Chicago Commons Association - Paulo Freire;1653 W 43rd St;;8262669;;State Pre-Kindergarten;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;; paulo freire_26;0.8291305984192698;yes
442560640;ECE Chicago Find a School scrape.csv;Stockton CPC Br.;4425 N. Magnolia Ave;60640;5342510;;;;;;Uptown;;;;;;;;;;;;;HS-HD;;;;;;;; br- br._7;;
442560640;CPS_Early_Childhood_Portal_scrape.csv;Stockton Br.;4425 N. Magnolia Ave;;5342510;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;; br- br._7;0.807677832141513;yes
472860640;CPS_Early_Childhood_Portal_scrape.csv;McPherson;4728 N. Wolcott Ave;;5344625;;Head Start;5-6 hours;;;;;;;;;;;;;;;;;;;;;;;;mcpherson_0;;
472860640;ECE Chicago Find a School scrape.csv;McPherson;4728 N. Wolcott Ave;60640;5342625;;;;;;Lincoln Square;;;;;;;;;;;;;HS-HD;;;;;;;;mcpherson_0;1.0;yes
142060610;CPS_Early_Childhood_Portal_scrape.csv;Ferguson CPC;1420 N. Hudson;;5348580;;Head Start/Child Parent Center;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;;ferguson cpc_4;;
142060610;purple_binder_early_childhood.csv;Ferguson CPC;1420 N Hudson Avenue;60610;5348580;;;;;;;;;;;;;;;;;;;;;;;;;;Child Parent Center;ferguson cpc_4;1.0;yes
343060624;chapin_dfss_providers_2011_070212.csv;EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO RACHEL'S LEARNING CENTER #1;3430 W ROOSEVELT RD;60624;5330444;;;;;;;EASTER SEALS SOCIETY OF METROPOLITAN CHICAGO;NORTH LAWNDALE;;;;;Rochelle Ray;No;Yes;No;;;;;;;;;;;easter seals society of metropolitan chicago rachel's learning center #1_0;;
343060624;DFSS_AgencySiteLies_2012.csv;Easter Seals Society of Metropolitan Chicago Rachel's Learning Center #1;3430 W Roosevelt Rd;60624;5330444;;;;;;;Easter Seals Society of Metropolitan Chicago;;;;;;;;;;;www.easterseaslchicago.org;Barbara Zawacki;Rochelle Ray ;;;;;;;easter seals society of metropolitan chicago rachel's learning center #1_0;1.0;yes
50760621;CPS_Early_Childhood_Portal_scrape.csv;Appeal for Charities and Goodwill - Appeal for Charities;50 W 71st St;;6515400;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;appeal for charities and goodwill - appeal for charities_2;;
50760621;CPS_Early_Childhood_Portal_scrape.csv;Appeal for Charities and Goodwill - Appeal for Charities;50 W 71st St;;6515400;;School Age;PART DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;appeal for charities and goodwill - appeal for charities_2;1.0;yes
322160618;CPS_Early_Childhood_Portal_scrape.csv;Linne;3221 N. Sacramento;;5345262;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;;linne_2;;
322160618;CPS_Early_Childhood_Portal_scrape.csv;Linne;3221 N. Sacramento;;5345262;;Head Start;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;;linne_2;1.0;yes
124860636;IDHS_child_care_provider_list.csv;Chicago Urban Day School;1248 West 69th Street Chicago;60636;4833555;(773) 483-0150;;;3398-4665-5433-003;;;;;;;;;;;;;;;;;;;;;;;chicago urban day school_4;;
124860636;purple_binder_early_childhood.csv;Chicago Urban Day School;1248 W 69th Street;60636;4833555;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care;chicago urban day school_4;1.0;yes
365160647;CPS_Early_Childhood_Portal_scrape.csv;Monroe;3651 W. Schubert;;5344155;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;;monroe_0;;
365160647;CPS_Early_Childhood_Portal_scrape.csv;Monroe;3651 W. Schubert;;5344155;;Head Start;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;;monroe_0;1.0;yes
214160200;CPS_Early_Childhood_Portal_scrape.csv;First Church of Love And Faith - First Church of Love & Faith Church;2140 W 79th St;;8739155;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;; church_5;;
135460636;CPS_Early_Childhood_Portal_scrape.csv;Abraham Lincoln Centre - Hope Presbyterian Church;1354 W 61st St;;4715100;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;; church_5;0.5126082047421905;no
292960616;DFSS_AgencySiteLies_2012.csv;Henry Booth House Near South;2929 S. Wabash;60616;7910424;;;;;;;Henry Booth House;;;;;;;;;;;www.henryboothhouse.org;Scott Perkins;Ms. Newsome;;;;;;; near south_0;;
292960616;ECE Chicago Find a School scrape.csv;Henry Booth Near South;2929 S. Wabash;60616;7910424;;;;;;Douglas;;;;;;;;;;;;;CP;;;;;;;; near south_0;0.7828377869777945;yes
292960616;ECE Chicago Find a School scrape.csv;Henry Booth Near South;2929 S. Wabash;60616;7910424;;;;;;Douglas;;;;;;;;;;;;;CP;;;;;;;; south_16;;
4444;CPS_Early_Childhood_Portal_scrape.csv;Woodson South;4444 S. Evans Ave;;5351280;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;; south_16;0.5154309371471585;no
40960620;ECE Chicago Find a School scrape.csv;Westcott;409 W. 80Th St.;60620;5353394;;;;;;Chatham;;;;;;;;;;;;;PFA-REG;;;;;;;;cott_16;;
262560614;CPS_Early_Childhood_Portal_scrape.csv;Alcott;2625 N. Orchard;;5345460;;Tuition Based Preschool;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;;cott_16;0.6544975536319156;no
444460632;CPS_Early_Childhood_Portal_scrape.csv;El Valor - Kiddy Kare Learning Ctr;4444 S Kedzie Ave;;2476642;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;el valor - kiddy kare learning ctr_0;;
444460632;CPS_Early_Childhood_Portal_scrape.csv;El Valor - Kiddy Kare Learning Ctr;4444 S Kedzie Ave;;2476642;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;el valor - kiddy kare learning ctr_0;1.0;yes
422560653;DFSS_AgencySiteLies_2012.csv;Chicago Public Schools Robinson, Jackie R.;4225 S. Lake Park Ave.;60653;5351777;;;;;;;Chicago Public Schools;;;;;;;;;;;www.cps.edu;Paula Cottone;Ms. Sonja Spiller;;;;;;; r._0;;
425760624;DFSS_AgencySiteLies_2012.csv;Chicago Public Schools Goldblatt, Nathan R.;4257 W. Adams;60624;5346860;;;;;;;Chicago Public Schools;;;;;;;;;;;www.cps.edu;Paula Cottone;Ms. Yvette R. Currington;;;;;;; r._0;0.7482122694768536;no
271060617;CPS_Early_Childhood_Portal_scrape.csv;YMCA of Metropolitan Chicago - YMCA - Bowen High School;2710 E 89th St;;9330166;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;h school_5;;
292960616;purple_binder_early_childhood.csv;Henry Booth Near South School;2929 S Wabash Suite 200;60616;7910424;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care;h school_5;0.41870530673692136;no
22860637;CPS_Early_Childhood_Portal_scrape.csv;Henry Booth House - Love Learning Center;228 E 61st St;;7520243;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;love learning center_7;;
22860637;CPS_Early_Childhood_Portal_scrape.csv;Love Learning Center;228 E. 61st Street;;7520243;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;;love learning center_7;0.6544975536319156;yes
3060637;CPS_Early_Childhood_Portal_scrape.csv;Cockrell;30 E. 61St;;5350798;;Head Start/Prekindergarten For;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;;cockrell_2;;
3060637;ECE Chicago Find a School scrape.csv;Cockrell;30 E. 61St;60637;5350650;;;;;;Washington Park;;;;;;;;;;;;;HS-HD;;;;;;;;cockrell_2;1.0;yes
202060608;NAEYC_accreditation.csv;Carole Robertson Center for Learning;2020 W. Roosevelt;60608;5228400;;;;;;;;;;;;;;;;;;http://www.crcl.net;;;;05/31/14;723127;youngt@crcl.net;;;carole robertson center for learning_10;;
292960623;purple_binder_early_childhood.csv;Carole Robertson Center For Learning;2929 W 19th Street;60623;5211600;;;;;;;;;;;;;;;;;;;;;;;;;;Early Head Start;carole robertson center for learning_10;1.0;no
183460647;CPS_Early_Childhood_Portal_scrape.csv;YMCA of Metropolitan Chicago - McCormick Tribune- YMCA;1834 N Lawndale Ave;;2352525;;School Age;PART DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;ymca of metropolitan chicago - mccormick tribune- ymca_2;;
183460647;CPS_Early_Childhood_Portal_scrape.csv;YMCA of Metropolitan Chicago - McCormick Tribune- YMCA;1834 N Lawndale Ave;;2352525;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;ymca of metropolitan chicago - mccormick tribune- ymca_2;1.0;yes
114560640;DFSS_AgencySiteLies_2012.csv;Board Trustees-City Colleges of Chicago Truman College;1145 W. Wilson Ave;60640;8784740;;;;;;;Board Trustees-City Colleges of Chicago;;;;;;;;;;;www.ccc.edu;Phyllis Daniels-Ward;Dexter Smith;;;;;;; college_32;;
71060621;chapin_dfss_providers_2011_070212.csv;BOARD TRUSTEES-CITY COLLEGES OF CHICAGO KENNEDY-KING COLLEGE;710 W 65TH BUILDING Z;60621;6025481;;;;;;;BOARD TRUSTEES-CITY COLLEGES OF CHICAGO;ENGLEWOOD;;;;;Guadalupe Pacias;Yes;No;No;7048PS(HS Collaboration with Childcare & PreK), 4384PS(Child;;;;;;;;;; college_32;0.3216033120060218;no
322160618;ECE Chicago Find a School scrape.csv;Linne;3221 N. Sacramento;60618;5345262;;;;;;Avondale;;;;;;;;;;;;;HS-HD;;;;;;;;linne_1;;
322160618;CPS_Early_Childhood_Portal_scrape.csv;Linne;3221 N. Sacramento;;5345262;;Head Start;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;;linne_1;1.0;yes
264760617;purple_binder_early_childhood.csv;Ada S. McKinley Community Services;2647 E 88th Street;60617;3751999;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care;ada s. mckinley community services_0;;
454360609;purple_binder_early_childhood.csv;Ada S. McKinley Community Services;4543 S Princeton Avenue;60609;6249799;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care;ada s. mckinley community services_0;1.0;no
211460612;purple_binder_early_childhood.csv;Marillac Social Center;2114 W 22nd Place;60612;7227440;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care;marillac social center_3;;
21260612;IDHS_child_care_provider_list.csv;Marillac Social Center;212 South Francisco Street;60612;5843232;(773) 722-1469;;;0350-8270-5433-000;;;;;;;;;;;;;;;;;;;;;;;marillac social center_3;1.0;no
60060612;CPS_Early_Childhood_Portal_scrape.csv;Onward Neighborhood House;600 N. Leavitt;;6666726;;Community Partnerships;8-11 Hours, varies by facility;;;;;;;;;;;;;;;;;;;;;;;;onward neighborhood house_17;;
60060612;CPS_Early_Childhood_Portal_scrape.csv;Onward Neighborhood House - Onward Neighborhood House;600 N Leavitt St;;6666726;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;onward neighborhood house_17;0.7352277004140008;yes
181460608;purple_binder_early_childhood.csv;Chicago Commons - Guadalupano Family Center;1814 S Paulina Street;60608;6663883;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care; guadalupano family center_26;;
181460608;DFSS_AgencySiteLies_2012.csv;Chicago Commons Association Guadalupano Family Center;1814 S. Paulina;60639;6663883;;;;;;;Chicago Commons Association;;;;;;;;;;;www.chicagocommons.org;Dan Valliere;Esmeralda Arroyo;;;;;;; guadalupano family center_26;0.7854723372224313;yes
385560618;NAEYC_accreditation.csv;Concordia Place;3855 North Seeley Avenue;60618;9353739;;;;;;;;;;;;;;;;;;http://www.concordiaplace.org;;;;04/30/14;292544;aroberts@concordiaplace.org;;;concordia place_0;;
330060618;NAEYC_accreditation.csv;Concordia Place;3300 N. Whipple Street;60618;4631600;;;;;;;;;;;;;;;;;;http://www.concordiaplace.com;;;;11/30/14;724782;avondale@concordiaplace.org;;;concordia place_0;1.0;no
142060613;ECE Chicago Find a School scrape.csv;Blaine;1420 W. Grace;60613;5345750;;;;;;Lake View;;;;;;;;;;;;;TB;;;;;;;;blaine_2;;
142060613;ECE Chicago Find a School scrape.csv;Blaine;1420 W. Grace;60613;5345750;;;;;;Lake View;;;;;;;;;;;;;PFA-REG;;;;;;;;blaine_2;1.0;yes
163160626;chapin_dfss_providers_2011_070212.csv;CHICAGO PUBLIC SCHOOLS GALE COMM. ACAD., STEPHEN F.;1631 W JONQUIL TERRACE;60626;5342100;;;;;;;CHICAGO PUBLIC SCHOOLS;ROGERS PARK;;;;;Mr. Richard P.  Glass Jr.;Yes;No;No;;;;;;;;;;; f._17;;
233260608;DFSS_AgencySiteLies_2012.csv;Chicago Public Schools Finkl, William F.;2332 S Western Ave.;60608;5355850;;;;;;;Chicago Public Schools;;;;;;;;;;;www.cps.edu;Paula Cottone;Mr. Abelino Quintero;;;;;;; f._17;0.3438088069251035;no
190060612;CPS_Early_Childhood_Portal_scrape.csv;Board Trustees-City Colleges of Chicago - Malcolm X College;1900 W Van Buren St;;8507000;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;board trustees-city colleges of chicago - malcolm x college_0;;
190060612;CPS_Early_Childhood_Portal_scrape.csv;Board Trustees-City Colleges of Chicago - Malcolm X College;1900 W Van Buren St;;8507000;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;board trustees-city colleges of chicago - malcolm x college_0;1.0;yes
170160622;CPS_Early_Childhood_Portal_scrape.csv;Erie Neighborhood House - Erie Community Center;1701 W Superior St;;5635800;;School Age;PART DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;erie neighborhood house - erie community center_5;;
170160622;CPS_Early_Childhood_Portal_scrape.csv;Erie Neighborhood House - Erie Community Center;1701 W Superior St;;5635800;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;erie neighborhood house - erie community center_5;1.0;yes
243460623;DFSS_AgencySiteLies_2012.csv;El Valor Carlos Cantu;2434 S. Kildare;60623;2422700;;;;;;;El Valor;;;;;;;;;;;www.elvalor.org;Vincent Allocco;Irma Carmona ;;;;;;; carlos cantu_4;;
243460623;CPS_Early_Childhood_Portal_scrape.csv;El Valor - Carlos Cantu;2434 S Kildare Ave;;;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;; carlos cantu_4;0.8127587504704554;yes
430160653;CPS_Early_Childhood_Portal_scrape.csv;Centers For New Horizons - Effie Ellis;4301 S Cottage Grove Ave;;;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;; effie ellis_0;;
430160653;chapin_dfss_providers_2011_070212.csv;CENTERS FOR NEW HORIZONS EFFIE ELLIS;4301 S COTTAGE GROVE;60653;5489839;;;;;;;CENTERS FOR NEW HORIZONS;KENWOOD;;;;;Valerie Jones;Yes;No;Yes;8012IT(Child Care IT Center), 7116PS(HS Collaboration with C;;;;;;;;;; effie ellis_0;0.4012043658261197;yes
303960617;ECE Chicago Find a School scrape.csv;YMCA South Chicago;3039 E. 91st St.;60617;7219100;;;;;;South Chicago;;;;;;;;;;;;;CP;;;;;;;; chicago_0;;
1760602;purple_binder_early_childhood.csv;Literacy Chicago;17 N State Street;60602;8701100;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care; chicago_0;0.5935265336846067;no
163260614;CPS_Early_Childhood_Portal_scrape.csv;Prescott;1632 W. Wrightwood;;5345505;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;;cott_24;;
40960620;CPS_Early_Childhood_Portal_scrape.csv;Westcott;409 W. 80Th St.;;5353090;;Prekindergarten For All;3-4 hours;;;;;;;;;;;;;;;;;;;;;;;;cott_24;0.7066240120436582;no
4000;CPS_Early_Childhood_Portal_scrape.csv;Easter Seals Society of Metropolitan Chicago - It Takes a Village;4000 W Division St;;;;Child Care;EXTENDED DAY;;;;;;;;;;;;;;;;;;;;;;;;easter seals society of metropolitan chicago - it takes a village_0;;
4000;CPS_Early_Childhood_Portal_scrape.csv;Easter Seals Society of Metropolitan Chicago - It Takes a Village;4000 W Division St;;;;Head Start;HALF DAY/FULL DAY;;;;;;;;;;;;;;;;;;;;;;;;easter seals society of metropolitan chicago - it takes a village_0;1.0;yes
52060642;IDHS_child_care_provider_list.csv;Improved Child Care Mgt. Services, Inc.;520 North Halsted Street Suite 412 Chicago;60642;7370231;(773) 737-7009;;;7483-8223-6433-005;;;;;;;;;;;;;;;;;;;;;;;s, inc-s, inc._24;;
400860646;NAEYC_accreditation.csv;All Aboard... Learning Express, Inc.;4008 W. Rosemont;60646;2020554;;;;;;;;;;;;;;;;;;;;;;07/01/15;595216;allaboardlearningexpress@yahoo.com;;;s, inc-s, inc._24;0.5250282273240496;no
321260657;purple_binder_early_childhood.csv;Hull House Association Child Development;3212 N Broadway Street;60657;5345814;;;;;;;;;;;;;;;;;;;;;;;;;;Child Care; development_39;;
