Id	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
100036	1	1	1	2	3	2	1	0	1	10	0	0
100037	0	0	5	1	3	2	1	0	3	1	1	1
100038	0	0	4	4	4	1	1	1	1	3	3	1
100039	0	1	3	4	3	2	2	1	1	0	3	1
100040	1	1	1	0	5	2	1	1	0	5	4	2
100041	1	1	0	5	4	1	0	1	1	10	5	1
100042	0	0	2	2	5	1	2	0	1	9	5	2
100043	0	1	4	0	4	1	0	0	5	9	2	1
100044	0	0	4	5	5	2	1	1	4	3	2	2
100045	0	0	0	0	1	0	2	0	0	8	4	2
100046	1	1	4	1	1	2	1	0	3	2	0	2
100047	0	1	3	1	1	2	0	0	4	1	3	0
100048	0	1	2	1	3	0	0	1	3	1	0	1
100049	1	0	5	1	0	0	0	0	2	4	0	1
100050	1	1	1	5	4	1	1	0	3	7	2	1
100051	0	0	3	1	5	1	0	0	2	2	1	2
100052	0	0	1	2	1	2	0	0	4	2	0	1
100053	1	1	1	1	2	1	0	1	3	3	1	1
100054	1	1	0	5	4	2	2	0	0	10	5	2
100055	1	0	4	3	3	1	2	0	5	3	2	2
100056	0	1	1	5	0	2	2	0	5	6	4	2
100057	1	1	1	3	5	0	0	0	3	0	3	1
100058	0	0	1	1	2	2	2	0	0	1	4	1
100059	1	1	5	5	2	1	0	1	2	4	4	1
100060	0	1	3	2	1	2	1	0	2	2	4	2
100061	0	0	3	4	3	2	1	0	1	4	5	0
100062	1	1	3	4	1	2	0	0	5	9	3	1
100063	0	0	0	3	5	0	1	0	2	0	0	2
100064	0	0	2	4	1	0	1	0	0	0	5	1
100065	0	1	4	4	1	2	2	1	5	5	2	1
100066	0	0	2	2	3	1	1	0	1	8	2	2
100067	0	0	4	0	3	2	0	0	2	1	2	1
100068	1	1	1	2	0	0	0	0	4	9	4	0
100069	0	0	3	0	0	1	0	1	4	1	2	1
100070	1	0	2	1	5	0	0	1	1	3	4	1
100071	1	0	1	5	5	1	2	0	1	1	3	2
100072	0	0	5	2	5	0	1	1	3	6	5	1
100073	0	1	1	1	4	2	2	0	1	1	0	1
100074	1	1	5	2	1	0	2	0	3	6	4	0
100075	0	1	3	3	4	0	1	1	0	5	1	2
100076	1	0	5	5	5	2	2	0	5	4	4	0
100077	1	0	4	3	2	1	0	1	1	1	0	0
100078	0	1	5	0	5	0	1	1	4	0	5	1
100079	0	1	0	4	1	2	1	0	5	7	5	0
100080	0	1	1	1	3	0	0	1	0	8	1	2
100081	1	0	3	4	1	1	0	0	0	10	3	0
100082	0	1	5	0	0	1	0	1	5	8	2	1
100083	1	1	5	0	4	2	0	0	3	3	1	2
100084	0	0	1	5	4	2	2	1	0	8	2	2
100085	1	0	0	4	0	1	1	1	3	6	2	1
100086	0	0	5	1	3	0	1	0	5	9	0	1
100087	0	1	1	3	4	1	2	0	2	7	0	2
100088	1	1	1	3	4	1	0	1	3	6	1	1
100089	0	0	3	4	4	0	1	1	0	0	3	1
100090	1	1	0	5	3	1	2	1	3	3	1	0
100091	1	0	3	3	2	1	2	0	2	8	3	0
100092	1	0	3	3	3	1	0	0	3	6	4	2
100093	0	0	0	4	0	0	2	1	4	2	3	2
100094	0	1	2	4	1	1	1	1	5	7	4	1
100095	1	0	5	4	2	0	1	1	5	4	3	0
100096	0	0	0	4	1	0	2	0	1	9	0	1
100097	1	0	5	2	1	1	1	1	5	5	2	0
100098	1	0	3	3	1	1	1	1	3	3	2	2
100099	0	0	2	1	3	2	2	0	0	9	1	1
100100	0	0	5	4	1	1	0	0	0	8	4	1
100101	0	0	4	5	1	1	0	0	5	9	5	0
100102	1	1	2	0	5	2	1	0	1	7	2	2
100103	0	1	4	3	4	2	0	0	5	0	0	2
100104	0	1	5	3	4	2	0	1	1	0	2	0
100105	0	0	5	2	0	0	2	0	4	10	1	0
100106	0	1	4	5	4	2	1	0	1	10	1	1
100107	0	1	0	4	1	0	2	0	2	0	0	2
100108	1	0	4	0	1	1	1	1	2	9	5	0
100109	1	0	3	3	5	0	2	1	2	2	0	0
100110	0	0	3	1	5	0	0	1	2	8	2	1
100111	0	0	5	0	4	1	0	0	4	8	4	1
100112	1	1	3	3	1	0	0	1	2	1	5	2
100113	0	0	4	5	0	2	2	0	4	0	4	2
100114	1	1	4	1	3	2	0	0	1	8	2	0
100115	0	1	0	0	5	0	0	0	1	1	2	2
100116	0	0	1	1	0	1	2	0	1	3	2	2
100117	0	0	5	0	4	2	0	1	0	0	1	1
100118	1	1	4	0	4	0	0	0	5	1	2	0
100119	0	0	0	3	4	1	0	1	2	5	5	2
100120	0	0	4	1	5	0	1	1	4	8	3	0
100121	0	1	0	1	5	2	1	1	1	8	1	2
100122	0	0	0	0	2	0	2	1	2	8	1	0
100123	0	1	2	4	4	0	1	1	1	8	3	1
100124	0	0	2	3	4	2	2	0	0	2	0	1
100125	1	0	4	5	0	2	2	1	4	6	5	2
100126	0	0	5	4	0	0	2	0	3	7	1	1
100127	1	1	3	3	4	1	1	1	2	8	4	1
100128	0	0	5	0	2	1	1	1	5	7	5	2
100129	1	0	1	4	1	2	0	1	4	1	5	0
100130	0	0	0	4	1	2	0	0	0	10	5	2
100131	0	0	0	0	0	2	1	0	2	9	5	2
100132	1	0	5	5	0	1	0	0	5	1	1	2
100133	0	1	4	2	3	0	1	1	2	3	4	2
100134	1	1	4	2	4	2	2	1	0	6	0	1
100135	0	0	4	3	2	2	1	1	3	8	0	2
100136	0	0	2	5	4	1	0	0	0	7	1	0
100137	1	0	2	5	4	0	1	0	2	2	4	0
100138	0	0	3	5	0	0	0	0	2	2	0	0
100139	0	0	5	5	5	2	0	1	5	2	3	2
100140	0	1	2	2	1	0	0	0	2	3	5	2
100141	1	1	1	1	0	2	1	0	1	3	2	1
100142	1	0	1	3	5	2	2	0	0	4	1	0
100143	0	1	4	1	1	0	1	0	5	5	5	2
100144	1	1	0	1	2	2	0	0	2	1	5	2
100145	0	1	1	4	5	2	2	0	4	1	2	2
100146	0	1	5	5	1	0	1	0	0	8	2	2
100147	1	1	5	4	5	0	2	0	5	5	5	0
100148	0	0	1	4	5	2	2	1	5	0	3	0
100149	1	0	3	2	4	2	2	0	5	1	3	2
100150	0	1	3	5	5	2	1	1	2	2	2	0
100151	0	0	0	4	0	2	2	1	1	10	4	1
100152	0	1	0	4	2	1	2	1	1	3	5	1
100153	1	0	5	2	1	0	0	1	5	6	1	0
100154	1	0	5	5	2	0	2	0	2	9	0	0
100155	0	0	1	5	5	0	0	1	2	7	5	2
100156	0	0	2	4	5	1	0	1	4	3	0	2
100157	0	0	3	1	5	2	0	0	5	9	0	2
100158	1	0	2	3	0	1	1	0	3	0	1	0
100159	1	1	1	0	5	2	0	1	0	6	1	2
100160	0	0	3	3	4	1	1	0	2	2	1	0
100161	0	1	2	4	2	2	1	1	0	5	5	1
100162	0	0	5	0	5	1	1	1	5	7	5	2
100163	0	1	1	2	0	0	0	1	5	3	3	2
100164	1	1	3	2	1	0	2	0	0	7	5	1
100165	0	1	2	4	5	1	0	1	5	3	0	1
100166	1	0	3	0	2	1	0	0	1	7	5	2
100167	0	1	2	5	5	2	1	1	2	2	3	2
100168	1	0	5	1	1	2	1	0	2	7	0	2
100169	1	0	4	5	3	2	2	0	2	1	2	2
100170	0	0	4	3	4	0	1	1	4	5	2	2
100171	1	0	1	4	3	2	1	0	0	6	5	1
100172	1	0	3	3	4	1	1	0	5	5	0	1
100173	1	0	1	1	3	2	1	0	0	8	3	2
100174	1	0	4	1	4	2	0	1	2	6	0	1
100175	0	1	0	2	0	2	1	1	0	0	3	1
100176	1	1	3	3	4	0	2	0	1	5	1	1
100177	0	1	2	1	4	0	2	1	2	9	3	2
100178	0	0	4	5	0	2	2	0	2	2	0	0
100179	0	0	4	2	5	1	0	1	0	8	4	0
100180	1	1	0	2	2	1	0	0	5	1	5	2
100181	1	0	2	0	4	0	1	0	5	6	4	2
100182	1	0	1	0	3	0	1	1	3	10	0	1
100183	1	0	4	3	2	0	0	1	4	7	5	1
100184	1	1	2	2	2	1	0	0	4	0	0	1
100185	1	0	0	2	3	1	1	1	3	0	4	2
100186	1	0	4	5	1	1	1	0	2	9	2	2
100187	1	0	4	0	1	1	2	1	2	10	3	2
100188	0	0	5	3	0	0	0	1	5	10	1	0
100189	0	1	0	2	3	2	2	0	0	3	1	1
100190	1	0	2	0	0	0	1	1	1	4	4	0
100191	0	0	2	5	5	1	0	0	4	2	0	1
100192	1	1	3	4	1	1	1	1	0	10	0	2
100193	1	1	3	0	0	1	1	0	1	4	2	1
100194	1	0	5	1	2	1	0	1	0	4	4	2
100195	1	1	5	2	2	1	0	0	2	5	1	2
100196	1	1	0	4	3	1	0	0	1	7	5	1
100197	0	1	1	5	3	1	1	1	2	2	3	1
100198	0	1	3	0	3	2	2	1	3	7	3	1
100199	1	1	1	1	0	0	0	0	3	4	2	2
100200	1	1	4	5	1	2	0	0	3	4	4	0
100201	0	0	2	0	3	0	0	1	1	1	5	1
100202	1	1	5	2	5	0	1	0	5	4	1	1
100203	1	0	3	5	0	0	1	0	3	5	0	2
100204	1	0	4	1	2	2	0	0	2	2	4	2
100205	0	1	0	5	4	2	1	1	4	4	4	0
100206	0	1	3	3	1	2	0	0	2	3	4	1
100207	1	1	1	3	2	1	0	1	1	1	3	2
100208	1	0	4	0	1	1	1	1	5	10	0	0
100209	0	0	4	2	5	0	2	1	2	10	3	0
100210	1	0	4	5	3	2	2	1	5	0	1	0
100211	1	1	4	0	1	0	2	1	5	9	3	0
100212	1	0	1	3	5	1	0	0	0	5	4	1
100213	0	1	1	0	4	2	1	0	4	10	5	0
100214	1	1	4	0	4	2	2	0	5	3	1	1
100215	1	1	2	3	1	1	0	1	1	5	1	1
100216	1	1	5	2	2	1	0	0	4	5	4	1
100217	0	0	4	4	5	0	0	1	0	6	1	1
100218	1	0	0	5	4	1	0	0	1	5	1	1
100219	1	1	1	5	5	2	2	1	2	8	4	0
100220	1	1	1	1	2	1	0	0	5	5	4	1
100221	1	0	1	1	1	2	0	0	0	10	5	1
100222	1	1	5	1	3	1	0	0	3	1	3	2
100223	1	1	5	4	3	1	1	0	3	5	1	0
100224	1	0	2	5	1	0	0	0	3	7	3	2
100225	1	1	5	5	3	0	2	1	0	4	3	2
100226	0	1	1	3	5	2	2	1	0	9	2	0
100227	1	0	5	1	5	1	2	1	5	9	1	2
100228	1	1	4	3	1	2	2	0	5	6	0	2
100229	0	1	2	4	1	2	0	1	5	7	3	2
100230	1	1	2	4	3	2	2	0	4	8	3	1
100231	0	0	4	4	2	1	0	0	0	3	4	1
100232	1	1	3	4	5	2	0	1	5	2	4	0
100233	0	0	0	0	4	0	1	0	4	4	4	0
100234	0	0	0	2	1	2	0	1	2	2	3	2
100235	0	1	3	1	4	2	1	0	1	3	0	2
100236	0	0	5	4	1	0	2	1	2	5	3	1
100237	1	0	4	4	1	1	1	1	0	1	5	1
100238	0	0	5	2	2	0	2	0	4	3	4	1
100239	0	0	2	0	4	2	1	1	3	2	1	0
100240	1	1	3	2	0	0	0	1	3	0	3	2
100241	1	1	1	0	2	1	1	1	1	4	3	0
100242	1	1	3	1	3	1	1	1	2	5	2	0
100243	0	1	3	5	0	0	2	1	4	5	0	1
100244	0	1	4	2	0	0	0	0	1	0	2	0
100245	1	1	3	3	2	1	0	0	1	0	4	1
100246	0	0	1	1	2	0	2	0	3	8	4	1
100247	0	0	2	3	5	2	1	0	2	2	5	2
100248	1	1	0	5	3	0	1	0	3	9	4	1
100249	1	1	4	1	4	2	0	0	2	5	3	0
100250	1	1	5	0	4	0	2	0	2	6	1	1
100251	1	0	4	2	0	0	1	1	2	3	5	2
100252	0	0	0	2	2	2	0	0	1	0	3	1
100253	1	1	2	4	1	1	1	0	0	6	2	1
100254	0	1	3	4	3	0	0	1	3	9	5	0
100255	0	0	5	2	1	1	2	0	5	4	0	1
100256	1	0	4	4	3	1	1	1	1	6	3	1
100257	1	0	0	3	1	0	1	1	2	5	0	2
100258	1	0	4	0	2	0	2	1	5	5	1	0
100259	0	1	4	0	1	1	1	0	0	10	0	2
100260	0	1	0	5	4	0	0	0	5	1	2	0
100261	0	0	3	0	3	1	1	1	0	1	3	2
100262	1	0	1	0	3	1	2	1	1	1	3	0
100263	1	0	1	4	3	2	1	0	5	7	5	2
100264	1	1	3	4	2	2	1	0	4	10	2	1
100265	0	0	3	5	1	2	0	0	5	2	2	1
100266	0	1	0	5	2	2	1	0	5	9	0	2
100267	0	1	0	3	4	1	1	0	2	2	0	1
100268	0	1	1	3	0	0	0	0	5	2	1	2
100269	0	0	4	1	4	1	2	0	2	4	3	1
100270	1	1	5	4	4	1	2	0	2	8	5	2
100271	0	1	2	5	1	0	0	0	1	8	5	0
100272	1	1	2	3	3	0	0	0	4	6	0	2
100273	0	0	4	1	2	2	1	1	4	4	4	0
100274	0	1	1	4	4	1	1	0	5	4	5	2
100275	1	0	4	5	2	2	0	1	3	9	4	2
100276	0	1	1	4	1	2	2	0	0	1	4	2
100277	1	1	4	5	5	1	0	0	1	5	2	1
100278	0	0	4	2	2	2	2	1	4	10	5	2
100279	1	1	0	4	4	2	0	0	5	8	1	2
100280	0	0	1	5	0	1	0	1	3	0	1	2
100281	0	1	2	5	2	0	0	1	1	1	4	1
100282	0	0	3	1	5	2	1	0	1	9	1	2
100283	1	1	1	4	0	2	2	0	5	5	1	1
100284	0	0	4	1	1	0	0	0	0	3	0	1
100285	1	0	1	5	5	1	0	1	3	9	3	2
100286	1	1	4	1	4	1	1	0	3	10	3	2
100287	0	0	5	3	2	0	1	1	1	3	3	0
100288	0	0	5	2	2	0	1	0	3	4	3	2
100289	1	1	3	1	0	0	2	1	1	8	3	0
100290	1	0	3	2	4	2	0	0	1	10	1	2
100291	1	1	3	0	0	1	2	0	0	4	2	2
100292	0	0	3	2	0	2	2	1	5	6	3	1
100293	0	1	0	0	5	0	2	1	5	5	3	2
100294	1	0	1	1	5	1	2	1	3	6	1	2
100295	1	0	4	4	1	0	1	1	5	6	3	1
100296	0	1	3	5	2	2	2	0	0	6	0	0
100297	1	1	3	4	5	1	1	1	2	6	4	2
100298	0	1	4	3	1	1	1	0	5	9	0	1
100299	0	0	2	0	2	0	2	1	3	2	3	2
100300	1	0	5	4	2	0	0	1	1	5	1	0
100301	1	0	2	1	0	0	0	0	0	9	4	2
100302	1	0	3	3	3	0	0	0	1	1	4	2
100303	1	0	5	2	3	2	1	0	4	5	1	1
100304	1	0	0	4	4	1	1	1	5	10	0	2
100305	1	1	2	3	5	2	1	1	2	1	1	2
100306	1	1	3	1	2	0	0	0	4	8	5	1
100307	1	1	2	0	5	0	1	0	0	7	3	0
100308	1	0	1	5	4	1	2	1	4	4	0	2
100309	0	1	2	4	3	2	1	1	1	3	3	0
100310	0	1	5	4	1	0	0	1	2	6	4	0
100311	0	0	0	1	1	1	2	0	3	6	1	0
100312	0	0	5	3	3	1	2	1	3	10	3	0
100313	0	0	3	3	4	1	2	0	1	6	1	0
100314	0	0	0	2	5	1	2	1	4	4	4	0
100315	0	0	2	0	4	1	0	0	0	2	0	0
100316	1	1	5	1	4	1	1	0	2	5	5	2
100317	0	1	5	4	3	0	1	1	2	1	3	2
100318	1	0	4	5	0	0	2	0	5	1	2	2
100319	0	1	2	1	3	1	1	1	0	6	3	0
100320	1	1	5	5	5	2	2	0	5	4	4	1
100321	1	0	4	5	0	0	0	1	2	5	4	1
100322	0	1	0	4	4	1	0	1	2	7	4	2
100323	1	1	1	5	3	0	2	0	4	0	4	2
100324	0	0	2	1	4	0	1	1	4	4	3	1
100325	0	1	0	2	4	2	2	1	1	3	0	0
100326	1	1	5	2	0	2	0	1	1	9	2	0
100327	0	1	3	4	3	0	2	1	5	9	1	1
100328	1	1	4	1	2	1	0	1	5	1	3	0
100329	0	1	3	5	0	1	2	1	2	6	5	1
100330	1	0	4	5	0	1	1	0	5	6	5	1
100331	0	0	0	5	0	1	2	0	5	2	3	0
100332	1	1	5	1	5	2	1	1	3	4	2	1
100333	1	0	2	2	0	1	2	0	5	5	3	1
100334	1	1	4	4	5	1	2	0	2	8	5	0
100335	0	0	3	2	0	2	2	1	5	4	4	0
100336	1	0	0	1	0	0	1	1	4	9	0	2
100337	0	1	5	3	3	2	2	0	4	1	3	1
100338	0	0	3	5	0	1	0	1	4	0	0	2
100339	1	1	2	3	3	2	0	0	2	6	5	1
100340	0	0	3	3	3	2	0	1	4	1	5	2
100341	1	0	5	3	3	0	2	1	0	2	1	2
100342	0	1	4	1	1	0	1	0	5	9	0	0
100343	0	0	0	0	1	2	2	1	1	9	5	1
100344	1	1	1	4	4	0	0	1	0	7	5	1
100345	1	1	2	5	4	0	2	1	4	0	4	0
100346	1	1	5	2	5	2	0	1	1	4	5	2
100347	0	0	2	0	3	2	1	0	3	10	2	0
100348	1	0	3	0	1	0	2	1	4	4	3	1
100349	1	1	2	3	4	2	1	0	1	8	1	1
100350	0	0	4	4	1	0	2	0	3	9	2	0
100351	0	0	4	5	1	2	1	0	3	0	1	2
100352	0	1	4	3	5	0	1	1	4	1	3	0
100353	0	1	3	4	3	1	0	1	0	0	2	1
100354	1	1	5	1	3	0	2	1	0	10	0	2
100355	1	1	1	3	1	0	2	0	0	6	3	1
100356	1	0	2	2	0	0	1	1	5	4	1	1
100357	1	0	5	4	5	1	2	0	5	5	5	1
100358	1	0	5	5	0	1	1	0	4	2	4	1
100359	0	1	4	5	4	1	2	1	4	3	0	2
100360	1	0	5	2	4	2	2	0	5	0	1	2
100361	0	0	2	4	4	1	1	1	3	1	2	1
100362	1	0	0	1	4	0	0	0	1	9	2	2
100363	1	1	3	3	5	2	0	0	0	9	5	2
100364	1	0	5	5	2	0	1	1	5	3	2	0
100365	0	1	4	2	2	2	1	1	4	5	2	2
100366	0	0	1	5	3	0	1	1	1	3	0	1
100367	1	1	3	2	0	2	2	0	0	8	0	0
100368	0	0	5	5	2	2	1	0	0	7	3	1
100369	1	0	1	2	4	0	1	0	2	0	1	1
100370	1	1	0	3	0	2	1	0	1	2	3	0
100371	0	0	0	3	5	2	2	0	1	5	4	2
100372	1	0	0	4	3	0	1	0	0	2	2	1
100373	0	0	3	1	3	1	0	1	2	2	1	1
100374	1	1	5	1	4	0	0	0	5	3	4	0
100375	1	0	3	4	0	2	1	1	0	10	1	1
100376	1	0	5	5	4	0	0	1	4	5	1	0
100377	1	1	5	5	2	2	2	1	0	6	2	0
100378	0	0	4	5	0	2	0	0	2	1	4	1
100379	1	1	5	0	3	2	0	1	1	6	1	1
100380	0	0	1	0	4	1	0	1	5	6	3	0
100381	0	0	0	1	0	2	0	1	3	7	5	0
100382	0	0	2	4	3	1	2	1	5	7	3	0
100383	0	0	1	3	0	1	0	1	2	6	2	2
100384	1	1	0	1	4	0	0	1	5	8	3	1
100385	1	0	5	5	2	1	2	0	3	2	2	1
100386	1	1	4	2	1	1	0	0	4	10	2	1
100387	1	0	5	3	2	0	2	0	2	1	4	0
100388	0	0	3	1	0	2	0	0	3	7	1	0
100389	0	1	5	2	3	1	0	0	3	7	2	2
100390	0	1	0	0	0	0	0	1	1	0	1	0
100391	1	0	5	2	5	0	1	1	5	10	0	1
100392	1	0	2	4	1	2	0	1	1	8	2	0
100393	0	0	4	1	0	1	2	0	5	3	1	2
100394	0	0	0	5	5	0	2	0	5	2	3	0
100395	0	0	1	1	0	1	0	0	4	10	5	1
100396	0	1	5	3	5	2	2	1	5	6	0	2
100397	0	0	2	1	2	1	2	1	4	4	5	2
100398	0	1	1	3	5	0	2	1	2	0	0	0
100399	1	0	2	1	5	0	2	1	4	10	0	2
100400	1	0	3	2	5	1	2	0	4	9	1	0
100401	1	1	5	1	0	1	2	0	4	8	3	0
100402	1	0	3	5	5	1	0	0	2	4	4	1
100403	1	0	3	0	3	0	1	0	5	2	2	1
100404	0	1	0	5	5	1	1	0	4	9	1	1
100405	1	1	5	5	4	2	2	1	5	2	5	0
100406	0	1	5	3	3	2	1	0	4	6	3	1
100407	1	0	1	4	5	1	1	1	5	10	4	1
100408	1	0	1	3	2	1	2	0	2	0	1	2
100409	1	1	0	5	5	0	1	0	2	1	1	1
100410	1	0	5	1	3	0	1	1	4	2	0	0
100411	0	0	2	4	3	1	2	0	2	3	3	2
100412	1	1	3	3	0	0	2	0	4	9	2	0
100413	1	0	3	2	1	1	2	1	2	8	2	0
100414	0	1	5	3	3	0	2	0	2	2	3	2
100415	1	0	2	5	3	0	0	0	5	5	5	0
100416	1	0	1	3	5	1	1	0	1	9	2	2
100417	1	1	0	0	3	0	0	1	0	6	3	2
100418	0	1	5	4	0	0	2	0	1	8	5	2
100419	1	0	5	3	5	2	0	0	4	9	2	1
100420	0	0	2	4	2	0	0	1	0	7	0	1
100421	1	0	0	0	1	2	1	1	0	0	2	1
100422	1	1	4	5	2	2	1	1	1	1	0	2
100423	0	0	5	0	2	2	2	0	5	5	4	2
100424	1	0	1	3	4	1	0	1	0	2	5	2
100425	0	0	0	1	2	1	2	1	0	6	2	1
100426	1	1	3	5	0	1	0	1	1	8	3	0
100427	0	0	2	4	5	1	0	1	3	8	0	2
100428	0	1	2	2	3	0	1	1	0	4	1	1
100429	0	0	4	5	5	1	2	1	0	2	4	0
100430	0	0	2	3	5	1	1	0	4	5	5	1
100431	0	0	3	2	1	2	1	0	3	8	5	1
100432	1	1	2	5	5	0	0	1	5	10	4	1
100433	1	1	3	4	2	0	2	1	5	3	1	1
100434	1	1	2	1	2	1	0	1	5	5	2	1
100435	0	0	0	5	4	0	0	0	5	9	5	0
100436	0	0	3	2	4	0	1	0	3	7	3	2
100437	0	1	0	2	0	0	2	0	0	4	0	0
100438	0	1	3	5	2	0	1	0	1	6	0	0
100439	0	1	0	0	2	2	2	1	4	2	1	0
100440	1	1	4	5	3	2	2	0	5	10	3	0
100441	0	0	0	1	0	0	1	1	4	6	2	0
100442	1	1	1	2	1	1	2	0	5	1	1	0
100443	0	0	4	4	4	0	1	0	2	5	1	0
100444	1	0	0	3	0	1	0	0	3	9	0	0
100445	1	1	4	0	5	1	1	0	2	6	5	0
100446	1	1	4	2	4	1	1	1	5	2	3	1
100447	1	1	2	4	2	2	1	0	3	1	3	0
100448	1	0	4	4	4	2	1	1	0	3	2	1
100449	0	1	2	2	5	0	0	0	0	4	5	0
100450	0	0	2	5	0	1	2	0	0	4	2	2
100451	1	0	0	4	5	2	1	0	0	9	1	2
100452	1	0	1	4	2	0	2	1	2	3	5	2
100453	1	0	4	1	0	1	1	1	1	1	0	2
100454	0	1	5	1	5	1	2	0	5	2	0	1
100455	1	1	3	4	5	2	1	0	1	10	3	1
100456	1	1	2	0	4	1	1	0	1	2	5	0
100457	1	0	1	3	0	1	0	1	4	0	0	0
100458	1	1	2	3	5	1	2	1	2	3	0	1
100459	0	0	1	3	1	2	1	0	4	8	1	2
100460	0	1	5	1	1	0	0	1	4	5	0	2
100461	1	1	2	1	1	1	1	0	4	10	3	1
100462	1	0	5	0	3	2	1	1	0	2	3	1
100463	1	1	1	4	1	2	2	1	1	0	2	1
100464	1	0	4	4	1	2	1	1	4	1	0	1
100465	0	0	2	3	1	2	0	0	1	8	4	0
100466	1	0	2	2	0	2	0	1	4	3	4	1
100467	1	0	4	4	0	1	1	1	4	5	4	2
100468	0	1	1	0	0	0	0	0	2	3	4	2
100469	1	1	1	1	2	2	1	1	5	7	0	0
100470	0	1	1	0	5	1	0	1	0	6	0	2
100471	0	1	3	3	4	1	0	0	2	9	5	2
100472	1	0	0	0	3	2	2	0	3	3	4	1
100473	0	0	5	2	2	2	2	1	5	8	2	1
100474	0	0	0	2	2	1	1	0	0	7	5	1
100475	1	1	2	1	2	1	0	0	1	2	4	1
100476	1	1	1	5	5	2	1	1	4	8	5	2
100477	1	0	2	0	5	0	0	1	4	7	4	0
100478	1	1	2	5	4	2	0	0	2	1	1	1
100479	0	1	2	4	5	1	1	0	3	2	1	1
100480	1	0	1	5	0	2	2	1	0	8	5	0
100481	0	1	1	2	2	0	2	1	1	6	1	0
100482	1	0	4	5	0	0	2	0	3	8	4	0
100483	1	0	3	3	2	1	1	0	4	6	5	0
100484	1	1	3	1	2	1	1	1	1	8	0	1
100485	0	0	5	1	3	1	1	1	4	2	0	2
100486	1	0	3	0	4	1	1	0	4	10	1	2
100487	1	0	0	3	2	0	2	1	3	1	4	2
100488	0	1	2	5	0	0	0	1	5	1	0	0
100489	0	1	5	5	5	0	2	1	2	0	2	1
100490	1	1	5	4	1	1	0	0	2	4	0	0
100491	0	1	5	4	3	2	0	0	1	1	1	0
100492	0	1	1	5	1	0	1	0	4	3	5	2
100493	0	1	5	2	1	0	0	0	0	0	4	2
100494	0	1	2	4	3	0	0	1	4	8	3	0
100495	0	0	4	4	3	2	0	1	5	1	5	1
100496	0	0	2	1	5	2	2	1	3	9	1	1
100497	0	1	3	0	5	0	2	0	2	6	4	2
100498	0	1	3	0	4	1	1	1	5	5	1	2
100499	0	1	1	1	3	2	0	0	0	5	2	2
100500	0	0	1	0	5	2	2	1	1	2	5	2
100501	1	1	4	5	3	2	1	0	3	3	3	1
100502	0	1	1	3	2	1	2	1	1	1	3	0
100503	0	0	5	0	5	0	0	0	3	3	2	2
100504	1	1	4	3	3	1	0	0	0	1	5	2
100505	0	1	3	1	5	0	0	1	4	5	4	1
100506	1	0	5	5	2	0	1	1	3	7	5	2
100507	0	0	5	0	4	1	0	1	4	7	2	0
100508	1	0	1	2	5	2	2	0	2	3	5	0
100509	0	0	5	1	5	0	0	0	0	3	4	0
100510	0	1	1	3	0	2	2	0	0	8	1	2
100511	1	0	1	5	4	0	1	1	4	8	2	2
100512	1	0	4	3	5	1	0	1	5	0	1	2
100513	1	0	4	1	5	2	0	1	1	6	5	0
